Название,Тикер,Биржа,Cектор,Изм.%
Cholamandalam Inv. and Finance,CHLA,NSE,Финансы,"-0,7"
Chambal Fertilizers & Chem.,CHMB,NSE,Материалы,"-0,76"
Chemfab Alkalis,CHMF,NSE,Материалы,"-3,69"
Cholamandalam Financial,CHOL,NSE,Финансы,"-0,7"
Chemplast Sanmar,CHPA,NSE,Материалы,0
Chennai Petroleum Corporation,CHPC,NSE,Энергетика,"-1,7"
Cigniti Technologies,CIGN,NSE,Информационные технологии,"-1,16"
Cineline India Ltd,CIIN,NSE,Недвижимость,"-1,02"
Cinevista Ltd,CINE,NSE,Услуги связи,"-1,52"
Cipla,CIPL,NSE,Здравоохранение,"-1,29"
CKP Leisure,CKPL,NSE,Потребительский сектор,0
Clariant Chemicals India,CLAC,NSE,Материалы,"-1,01"
Clean Science and Technology,CLEA,NSE,Материалы,"-0,77"
Chaman Lal Setia Exports Ltd,CLSE,NSE,Производители товаров массового потребления,"-1,14"
CMI,CMI,NSE,Промышленность,"1,02"
CMM Infraprojects,CMMN,NSE,Промышленность,0
Compucom Software Ltd,CMPU,NSE,Потребительский сектор,"-0,22"
CMS Info Systems,CMSN,NSE,Промышленность,"-0,49"
Canara Bank,CNBK,NSE,Финансы,"-0,7"
Can Fin Homes,CNFH,NSE,Финансы,"-0,78"
Century Enka Limited,CNTE,NSE,Потребительский сектор,"-1,25"
Century Plyboards,CNTP,NSE,Материалы,"-1,63"
Century Extrusions Ltd,CNTX,NSE,Материалы,"1,33"
Century Textiles & Industries,CNTY,NSE,Материалы,"0,51"
Coal India,COAL,NSE,Энергетика,"0,13"
Coastal Corp,COAS,NSE,Производители товаров массового потребления,"-4,97"
Cochin Shipyard,COCH,NSE,Промышленность,"2,01"
Country Condo's Ltd,COCO,NSE,Недвижимость,0
Coffee Day Enterprises,CODE,NSE,Потребительский сектор,"-3,16"
Coforge,COFO,NSE,Информационные технологии,"0,54"
Cox & Kings,COKI,NSE,Потребительский сектор,0
Cox Kings Financial,COKN,NSE,Финансы,0
Colgate-Palmolive India,COLG,NSE,Производители товаров массового потребления,"-0,03"
Compuage Infocom,COMI,NSE,Информационные технологии,"-1,62"
Computer Age,COMU,NSE,Информационные технологии,"3,09"
Confidence Petroleum India,CONF,NSE,Промышленность,"5,74"
Control Print,CONP,NSE,Информационные технологии,"-1,42"
Consolidated Finvest Holding,CONS,NSE,Финансы,"-0,78"
Cool Caps Industries,COOL,NSE,Материалы,0
