Название,Тикер,Биржа,Cектор,Изм.%
Omax Autos Ltd,OMXA,NSE,Потребительский сектор,"1,15"
Onelife Capital Advisors Ltd,ONEL,NSE,Финансы,"-3,34"
One Point One,ONEP,NSE,Информационные технологии,"9,19"
Oil&Gas Corp,ONGC,NSE,Энергетика,"-0,63"
Onmobile Global Ltd,ONMO,NSE,Информационные технологии,"-1,15"
Orient Electric,ONTE,NSE,Потребительский сектор,"1,24"
Optiemus Infracom,OPTI,NSE,Информационные технологии,"-2,44"
Opto Circuits,OPTO,NSE,Здравоохранение,0
Orbit Exports,ORBE,NSE,Потребительский сектор,"1,9"
Orient Bell Ltd,ORBL,NSE,Промышленность,"1,92"
Orchid Pharma,ORCD,NSE,Здравоохранение,"1,28"
Orient Cement Ltd,ORCE,NSE,Материалы,"1,17"
Oracle Financial Software,ORCL,NSE,Информационные технологии,"-0,1"
Oriental Chemicals,ORCR,NSE,Материалы,"1,47"
Oricon Enterprises Ltd,OREN,NSE,Промышленность,"-3,32"
Oriental Hotels,ORHT,NSE,Потребительский сектор,"0,95"
Orissa Bengal Carrier,ORIB,NSE,Промышленность,"-0,3"
Orient Green Power Co Ltd,ORIN,NSE,Коммунальные услуги,"-1,1"
Orissa Minerals,ORIS,NSE,Материалы,"-0,51"
Orient Abrasives Ltd,ORNT,NSE,Материалы,"2,03"
Orient Paper Industries,ORPP,NSE,Материалы,"-1,29"
Orient Press Ltd,ORPR,NSE,Материалы,"2,77"
Ortel Communications Ltd,ORTE,NSE,Услуги связи,0
Ortin Laboratories Ltd,ORTN,NSE,Здравоохранение,"-1,28"
Oriental Trimex Ltd,ORTX,NSE,Материалы,"-2,4"
Oswal Greentech,OSGL,NSE,Недвижимость,-2
Osia Hyper,OSIH,NSE,Производители товаров массового потребления,0
Onward Technologies Ltd,OTEC,NSE,Информационные технологии,"-1,3"
Oswal Agro Mills,OWAG,NSE,Недвижимость,"-3,34"
Palash Securities,PAAS,NSE,Производители товаров массового потребления,"19,46"
Parenteral Drugs India Ltd,PADG,NSE,Здравоохранение,"4,62"
Patanjali Foods,PAFO,NSE,Производители товаров массового потребления,"-0,8"
Page Industries,PAGE,NSE,Потребительский сектор,"-1,97"
5Paisa,PAIS,NSE,Финансы,"0,23"
Palred Technologies Ltd,PALR,NSE,Информационные технологии,"0,69"
Parag Milk Foods Ltd,PAMF,NSE,Производители товаров массового потребления,"-2,66"
Pansari Developers,PANR,NSE,Недвижимость,"-4,99"
Panama Petrochem Ltd,PAPT,NSE,Материалы,"0,45"
Paras Petrofils Ltd,PARP,NSE,Потребительский сектор,0
Par Drugs,PARR,NSE,Здравоохранение,"-1,85"
Parin Furniture,PARU,NSE,Потребительский сектор,0
Parsvnath Developers,PARV,NSE,Недвижимость,"-1,92"
Pasupati Acrylon,PASA,NSE,Потребительский сектор,"-0,42"
Pashupati Cotspin,PASH,NSE,Потребительский сектор,0
Patel Integrated Logistics Ltd,PATL,NSE,Промышленность,"-0,73"
Pavna Industries,PAVN,NSE,Потребительский сектор,0
Party Cruisers,PAYC,NSE,Потребительский сектор,"4,98"
One 97 Communications,PAYT,NSE,Информационные технологии,"3,58"
PBA Infrastructure Ltd,PBAI,NSE,Промышленность,0
PB Fintech,PBFI,NSE,Финансы,"-1,62"
PCBL Ltd,PCBL,NSE,Материалы,"-1,93"
Punjab Chemical Crop Protect,PCHM,NSE,Материалы,"0,41"
PC Jeweller Ltd,PCJE,NSE,Потребительский сектор,"-0,77"
Paramount Communications Ltd,PCML,NSE,Промышленность,"-1,39"
PDS Multinational Fashions,PDSL,NSE,Потребительский сектор,"0,29"
PE Analytics,PEAN,NSE,Информационные технологии,"-2,14"
Penta Gold,PENA,NSE,Потребительский сектор,0
Patel Engineering,PENG,NSE,Промышленность,"-2,58"
Peninsula Land,PENL,NSE,Недвижимость,"-1,97"
Pennar Industries Ltd,PENN,NSE,Материалы,"-2,23"
Perfect Infraengineers Ltd,PERE,NSE,Промышленность,0
Peria Karamalai Tea Produce Company,PERI,NSE,Производители товаров массового потребления,"-0,16"
Persistent Systems,PERS,NSE,Информационные технологии,"1,13"
Pfizer Ltd,PFIZ,NSE,Здравоохранение,"0,85"
PG Electroplast Ltd,PGEL,NSE,Информационные технологии,"4,05"
Pearl Global Industries Ltd,PGIL,NSE,Потребительский сектор,"-1,82"
Power Grid,PGRD,NSE,Коммунальные услуги,"0,05"
The Phoenix Mills,PHOE,NSE,Недвижимость,"-0,11"
Pidilite Industries,PIDI,NSE,Материалы,"-0,55"
PI Industries,PIIL,NSE,Материалы,-2
Pil Italica Lifestyle,PILI,NSE,Потребительский сектор,"-0,62"
Pilani Investment And Industries Co,PILN,NSE,Финансы,"-1,65"
Pincon Spirit,PINS,NSE,Производители товаров массового потребления,0
Pioneer Embroideries Ltd,PIOE,NSE,Потребительский сектор,"-0,22"
Pioneer Distilleries Ltd,PION,NSE,Производители товаров массового потребления,"-3,43"
Piramal Enterprises Ltd,PIRA,NSE,Финансы,"-2,64"
Paisalo Digital,PISA,NSE,Финансы,"2,83"
Pitti Engineering,PITE,NSE,Промышленность,"-1,93"
Pritika Auto,PITI,NSE,Промышленность,"-1,97"
Privi Speciality Chemicals,PIVI,NSE,Материалы,"5,03"
Pix Transmissions,PIXT,NSE,Промышленность,"-2,19"
Poly Medicure Ltd,PLMD,NSE,Здравоохранение,"-1,26"
Petronet LNG,PLNG,NSE,Энергетика,"-1,02"
Plastiblends India Ltd,PLST,NSE,Материалы,"-0,95"
Polyplex Corporation Ltd,PLYP,NSE,Материалы,"-2,15"
Panache Digilife,PNAC,NSE,Информационные технологии,"-1,43"
PNB Gilts Ltd,PNBG,NSE,Финансы,"-0,97"
PNB Housing Finance,PNBH,NSE,Финансы,"-1,69"
Punjab Bank,PNBK,NSE,Финансы,"-0,55"
Panacea Biotec,PNCA,NSE,Здравоохранение,"0,08"
PNC Infratech,PNCI,NSE,Промышленность,"-1,04"
Pritish Nandy Communications,PNCL,NSE,Услуги связи,"12,02"
Poddar Housing,PODD,NSE,Недвижимость,"-4,18"
Poddar Pigments Ltd,PODR,NSE,Материалы,"-0,51"
Power Instrumentation Gujarat,POER,NSE,Промышленность,0
Pokarna,POKR,NSE,Материалы,"-1,72"
Polycab India,POLC,NSE,Промышленность,"0,48"
Power Mech Projects Ltd,POMP,NSE,Промышленность,"-2,01"
Ponni Sugars Erode Ltd,PONS,NSE,Производители товаров массового потребления,"-1,79"
Poonawalla Fincorp,POON,NSE,Финансы,"-1,83"
POWERGRID Infrastructure Investment Trust,POWG,NSE,Недвижимость,"0,01"
PPAP Automotive Ltd,PPAP,NSE,Потребительский сектор,"-2,59"
Prakash Steelage Ltd,PRAA,NSE,Материалы,"0,92"
Paras Defence and Space Technologies,PRAF,NSE,Промышленность,0
Praj Industries,PRAJ,NSE,Промышленность,"0,81"
Paradeep Phosphates,PRAO,NSE,Материалы,"-2,22"
Prakash Pipes,PRAS,NSE,Промышленность,"-0,44"
Prataap Snacks,PRAT,NSE,Производители товаров массового потребления,"-1,67"
Praxis Home Retail,PRAX,NSE,Потребительский сектор,"1,44"
Prince Pipes And Fittings,PRCE,NSE,Промышленность,"-0,39"
Precision Camshafts,PRCM,NSE,Потребительский сектор,"-3,48"
Pricol,PRCO,NSE,Потребительский сектор,"4,12"
Precot Meridian Ltd,PREC,NSE,Потребительский сектор,"-1,63"
Prestige Estates Projects,PREG,NSE,Недвижимость,-3
Precision Metaliks,PREN,NSE,Потребительский сектор,"-4,09"
Pressman Advertising Ltd,PRES,NSE,Услуги связи,"-1,93"
Prime Focus Ltd,PRFO,NSE,Услуги связи,"4,57"
Prism Johnson,PRIS,NSE,Материалы,"-0,55"
Prajay Engineers Syndicate Ltd,PRJE,NSE,Недвижимость,"9,32"
Prakash Industries Ltd,PRKI,NSE,Материалы,"-0,28"
Pearl Polymers Ltd,PRLP,NSE,Материалы,"-3,37"
Prime Securities Ltd,PRME,NSE,Финансы,"-0,35"
Premier Ltd,PRMI,NSE,Промышленность,0
Premier Explosives,PRMR,NSE,Материалы,"1,51"
Priti International,PRNI,NSE,Потребительский сектор,"-2,52"
Procter & Gamble Hygiene,PROC,NSE,Производители товаров массового потребления,"0,56"
Prolife Industries,PROI,NSE,Материалы,0
Procter & Gamble Health,PROR,NSE,Здравоохранение,"-0,17"
Powerful Tech,PROW,NSE,Потребительский сектор,0
Prozone Intu Properties Ltd,PROZ,NSE,Недвижимость,"-0,66"
Premier Polyfilm Ltd,PRPF,NSE,Потребительский сектор,"-0,27"
Pratibha Industries Ltd,PRTI,NSE,Промышленность,0
Prudent,PRUE,NSE,Финансы,"-1,03"
Precision Wires India Ltd,PRWR,NSE,Промышленность,"-3,23"
PSL,PSLH,NSE,Промышленность,0
Psp Projects,PSPP,NSE,Промышленность,"-0,89"
PTC India,PTCI,NSE,Коммунальные услуги,"-0,83"
PTC India Financial Services,PTCN,NSE,Финансы,"-1,37"
PTL Enterprises Ltd,PTLE,NSE,Промышленность,0
Pudumjee Paper Products,PUDJ,NSE,Материалы,"-0,49"
Punj Lloyd,PUJL,NSE,Промышленность,0
Pulz Electronics,PULZ,NSE,Потребительский сектор,"-0,36"
Punjab Sind Bank,PUNA,NSE,Финансы,0
Puravankara Projects,PURA,NSE,Недвижимость,"-2,09"
PVP Ventures Ltd,PVPV,NSE,Недвижимость,"-3,23"
PVR,PVRL,NSE,Услуги связи,"-0,68"
Power Finance Corporation,PWFC,NSE,Финансы,"-0,71"
Quadpro Ites,QUAR,NSE,Информационные технологии,"-1,41"
Quess Corp,QUEC,NSE,Промышленность,"-1,53"
Quick Heal Tech,QUIC,NSE,Информационные технологии,"-0,1"
Quintegra,QUIN,NSE,Информационные технологии,-4
Rane Brake Linings Ltd,RABL,NSE,Потребительский сектор,"-1,06"
Radico Khaitan,RADC,NSE,Производители товаров массового потребления,"-0,58"
Rajnandini Metal,RADN,NSE,Промышленность,"-0,29"
Rane Engine Valves Ltd,RAEV,NSE,Потребительский сектор,"-0,06"
Rainbow Children's Medicare,RAIB,NSE,Здравоохранение,"4,1"
Rain Industries,RAID,NSE,Материалы,"0,61"
Railtel,RAIT,NSE,Услуги связи,"-0,35"
Rail Vikas Nigam,RAIV,NSE,Промышленность,"6,53"
Rajdarshan Ind,RAJD,NSE,Промышленность,"-0,29"
Rajshree Polypack,RAJH,NSE,Материалы,"-2,15"
Rajratan Global Wire,RAJR,NSE,Материалы,"-2,75"
Raj Oil Mills Ltd,RAJS,NSE,Производители товаров массового потребления,"-2,74"
Rajvir Industries Ltd,RAJV,NSE,Потребительский сектор,"-4,4"
Rallis India,RALL,NSE,Материалы,"-1,36"
Rama Steel Tubes Ltd,RAMA,NSE,Материалы,"-0,97"
Ramco Industries,RAMC,NSE,Материалы,"0,18"
Rane Madras Ltd,RAMD,NSE,Потребительский сектор,"-1,05"
Ramky Infrastructure Ltd,RAMK,NSE,Промышленность,"-0,45"
Ram Ratna Wires,RAMR,NSE,Промышленность,"-5,67"
Rane Holdings Ltd,RANE,NSE,Потребительский сектор,"3,09"
RBL Bank,RATB,NSE,Финансы,"-2,2"
Rategain Travel Technologies,RATE,NSE,Информационные технологии,"-0,8"
Raj Tele,RATV,NSE,Услуги связи,"4,91"
Rico Auto Industries Ltd,RAUT,NSE,Потребительский сектор,"-2,51"
Ravi Kumar Distilleries Ltd,RAVK,NSE,Производители товаров массового потребления,"4,82"
Ravinder Heights,RAVN,NSE,Недвижимость,"19,88"
Ruchira Papers Ltd,RCHR,NSE,Материалы,"5,85"
REC,RECM,NSE,Финансы,"-2,21"
Redington India,REDI,NSE,Информационные технологии,"-2,29"
Dr. Reddy’s Labs,REDY,NSE,Здравоохранение,"-0,49"
Refex Industries Ltd,REFE,NSE,Промышленность,"-1,73"
Regency Ceramics Ltd,REGC,NSE,Промышленность,"-4,93"
Reliance Industrial Infra.,REII,NSE,Энергетика,"-1,71"
Remsons Industries Ltd,REIN,NSE,Потребительский сектор,"-1,12"
Religare Enterprises,RELG,NSE,Финансы,"0,15"
Reliance Ind,RELI,NSE,Энергетика,"-1,01"
Reliance Industries Partly Paid,RELIpp,NSE,Энергетика,0
Reliance Naval,RELV,NSE,Промышленность,"-4,55"
Renaissance Global,RENA,NSE,Потребительский сектор,"-1,24"
Restaurant Brands Asia,RESR,NSE,Потребительский сектор,"-1,9"
Resurgere Mines Minerals,RESU,NSE,Материалы,0
Revathi Equipment Ltd,REVA,NSE,Промышленность,"-0,34"
Rex Pipes and Cables Industries,REXI,NSE,Промышленность,0
Rajesh Exports,REXP,NSE,Потребительский сектор,"-0,1"
Repco Home Finance Ltd,RHFL,NSE,Финансы,"-0,32"
RHI Magnesita India,RHIM,NSE,Материалы,"0,65"
RICHA INFO SYSTEMS LIMITED,RICI,NSE,Информационные технологии,0
Ritco Logistics,RICT,NSE,Промышленность,"2,68"
RITES,RITS,NSE,Промышленность,"0,44"
Rajshree Sugars Chemicals,RJSG,NSE,Производители товаров массового потребления,"0,15"
RKEC Projects,RKEC,NSE,Промышленность,"-2,56"
Ramkrishna Forgings Ltd,RKFO,NSE,Материалы,"0,43"
Reliance Communications,RLCM,NSE,Услуги связи,"-4,88"
Reliance Capital,RLCP,NSE,Финансы,"-4,73"
Reliable Data,RLIB,NSE,Информационные технологии,0
Reliance Home Finance,RLIC,NSE,Финансы,0
Reliance Infr.,RLIN,NSE,Коммунальные услуги,"3,63"
Rollatainers,RLTN,NSE,Материалы,0
Relaxo Footwears Ltd,RLXO,NSE,Потребительский сектор,"-1,36"
Radha Madhav Corp Ltd,RMCP,NSE,Материалы,0
Ramco Systems Ltd,RMCS,NSE,Информационные технологии,"-0,02"
RM Drip Sprinklers,RMDR,NSE,Промышленность,0
Radaan Media Works India Ltd,RMIL,NSE,Услуги связи,0
Ratnamani Metals Tubes Ltd,RMT,NSE,Материалы,"2,12"
Rainbow Papers Ltd,RNBP,NSE,Материалы,0
Rana Sugars Ltd,RNSG,NSE,Производители товаров массового потребления,0
Rolex Rings,ROLE,NSE,Промышленность,"-0,32"
Rolta India,ROLT,NSE,Информационные технологии,"-2,22"
Rossari Biotech,ROSB,NSE,Материалы,"-1,31"
Rossell India Ltd,ROSS,NSE,Производители товаров массового потребления,"6,47"
Roto Pumps,ROTP,NSE,Промышленность,"0,96"
Route Mobile,ROUT,NSE,Информационные технологии,"-1,24"
Royal Orchid Hotels Ltd,ROYL,NSE,Потребительский сектор,"1,39"
Rpg Life Sciences Ltd,RPGL,NSE,Здравоохранение,"0,36"
Reliance Power,RPOL,NSE,Коммунальные услуги,"0,85"
RPP Infra Projects Ltd,RPPI,NSE,Промышленность,"-0,41"
Repro India Ltd,RPRO,NSE,Промышленность,"-0,98"
RPSG Ventures,RPSG,NSE,Информационные технологии,"-0,35"
Raj Rayon Industries Ltd,RRAY,NSE,Потребительский сектор,"1,9"
Responsive Industries Ltd,RSPO,NSE,Материалы,"1,03"
R S Software India Ltd,RSSI,NSE,Информационные технологии,"-2,36"
Rashtriya Chem. and Fertil.,RSTC,NSE,Материалы,"-1,31"
RSWM Ltd,RSWM,NSE,Потребительский сектор,"-1,28"
R Systems International Ltd,RSYS,NSE,Информационные технологии,"-2,22"
RattanIndia Infrastructure,RTNI,NSE,Коммунальные услуги,"-2,88"
RattanIndia Power,RTNP,NSE,Коммунальные услуги,"4,35"
Ruby Mills Ltd,RUBY,NSE,Потребительский сектор,"-5,81"
Ruchi Infrastructure Ltd,RUCH,NSE,Производители товаров массового потребления,"-0,53"
Rupa Company Ltd,RUCL,NSE,Потребительский сектор,"-1,14"
Rudrabhishek Enterprises,RURD,NSE,Промышленность,"0,25"
Rushil Decor Ltd,RUSH,NSE,Промышленность,"-5,83"
Raymond,RYMD,NSE,Потребительский сектор,"-0,92"
Sabar Flex India,SABA,NSE,,"-8,72"
Sab Events & Governance,SABV,NSE,Услуги связи,0
Spacenet Enterprises India,SACE,NSE,Промышленность,"-3,79"
Sadbhav Infrastructure Projects Ltd,SADB,NSE,Промышленность,"2,94"
Sadbhav Engineering,SADE,NSE,Промышленность,"-2,53"
Sarda Energy Minerals Ltd,SAEM,NSE,Материалы,"-0,24"
Safari Industries,SAFA,NSE,Потребительский сектор,"-4,85"
Sagardeep Alloys Ltd,SAGP,NSE,Материалы,"0,35"
Steel Authority of India,SAIL,NSE,Материалы,"0,86"
Sakar Healthcare,SAKA,NSE,Здравоохранение,"9,21"
Sakuma Exports,SAKE,NSE,Производители товаров массового потребления,"-1,02"
Saksoft Ltd,SAKS,NSE,Информационные технологии,"-3,95"
Salasar Techno,SALA,NSE,Промышленность,"-0,33"
Salona Cotspin,SALO,NSE,Потребительский сектор,"-0,13"
Salasar Exteriors and Contour,SALR,NSE,Промышленность,"4,99"
S A L Steel Ltd,SALS,NSE,Материалы,"4,69"
Salzer Electronics Ltd,SALZ,NSE,Промышленность,"-1,63"
Samvardhana Motherson International Ltd,SAMD,NSE,Потребительский сектор,"-1,76"
Sangam India Ltd,SANG,NSE,Потребительский сектор,"-2,61"
Sanofi India,SANO,NSE,Здравоохранение,"-0,66"
Sanco Industries Ltd,SANR,NSE,Промышленность,"-2,21"
Savita Oil Technologies Ltd,SAOL,NSE,Материалы,"-1,64"
Sapphire Foods India,SAPI,NSE,Потребительский сектор,"-2,32"
Saregama India Ltd,SARE,NSE,Услуги связи,"1,47"
Sarthak Metals,SARH,NSE,Материалы,"-1,87"
Sarla Performance Fibers Ltd,SARL,NSE,Потребительский сектор,"0,71"
Sansera Engineering,SASE,NSE,Потребительский сектор,"-0,43"
Sastasundar Ventures,SAST,NSE,Потребительский сектор,"-0,92"
Satia Industries Ltd,SATD,NSE,Материалы,"4,79"
Satin Creditcare Network Ltd,SATR,NSE,Финансы,"2,86"
Sathavahana Ispat Ltd,SATV,NSE,Материалы,4
SBC Exports,SBCE,NSE,Потребительский сектор,0
State Bank,SBI,NSE,Финансы,0
SBI Cards,SBIC,NSE,Финансы,"-0,3"
SBI Life Insurance,SBIL,NSE,Финансы,"-0,74"
Sundaram Brake Linings Ltd,SBKL,NSE,Потребительский сектор,"0,01"
Sri Adhikari Brothers TV Net,SBTV,NSE,Услуги связи,0
Share India Securities,SCAC,NSE,Финансы,"-0,95"
S Chand & Co,SCHA,NSE,Услуги связи,"-0,98"
Schaeffler India,SCHE,NSE,Промышленность,"-1,11"
Shipping Corporation Of India,SCI,NSE,Промышленность,"0,6"
Steel City Securities,SCYS,NSE,Финансы,"0,25"
SOM Distilleries Breweries,SDB,NSE,Производители товаров массового потребления,"-4,96"
Sudarshan Chemical Industries,SDCH,NSE,Материалы,"-2,97"
Seamec Ltd,SEAM,NSE,Энергетика,"-0,74"
SecUR Credentials,SECC,NSE,Промышленность,"10,91"
Securekloud Technologies,SECE,NSE,Информационные технологии,-5
Schneider Electric Infrastructure,SEIN,NSE,Промышленность,"-5,02"
Sejal Glass Ltd,SEJL,NSE,Промышленность,"-4,98"
Selan Exploration Technology,SELA,NSE,Энергетика,"5,81"
Sel Manufacturing Co Ltd,SELM,NSE,Потребительский сектор,5
Sepc Ltd,SEPC,NSE,Промышленность,"-2,35"
Shaily Engineering Plastics,SEPL,NSE,Промышленность,"-0,48"
SE Power Ltd,SEPW,NSE,Материалы,"-2,38"
SeQuent Scientific,SEQU,NSE,Здравоохранение,"-1,32"
Servotech Power,SERO,NSE,Промышленность,"1,94"
Setco Automotive,SETC,NSE,Потребительский сектор,"-2,98"
Setubandhan Infrastructure,SETU,NSE,Промышленность,"-2,7"
Seya Ind,SEYA,NSE,Материалы,"-3,95"
Sunflag Iron Steel Co Ltd,SFLG,NSE,Материалы,"-0,94"
Sagar Cements Ltd,SGRC,NSE,Материалы,"2,65"
Shah Alloys Ltd,SHAA,NSE,Материалы,"3,82"
Shankara Building,SHAB,NSE,Потребительский сектор,"-1,31"
Sharda Motor Industries Ltd,SHAD,NSE,Потребительский сектор,"2,06"
Shivam Autotech Ltd,SHAU,NSE,Потребительский сектор,"-3,07"
Shalby,SHAY,NSE,Здравоохранение,"-1,31"
Sharon Bio Medicine Ltd,SHBM,NSE,Здравоохранение,0
Shree Cements,SHCM,NSE,Материалы,"-0,85"
Sharda Cropchem Ltd,SHCR,NSE,Материалы,"-3,12"
Shriram City Union Finance Ltd,SHCU,NSE,Финансы,"-0,07"
Shradha Infraprojects Nagpur,SHDH,NSE,Недвижимость,"-0,93"
Sheela Foam,SHEF,NSE,Потребительский сектор,"-3,12"
Shekhawati Poly Yarn Ltd,SHEK,NSE,Потребительский сектор,"-6,25"
Shemaroo Entertainment PVT,SHEM,NSE,Услуги связи,"0,6"
Shree Vasu Logistics,SHEV,NSE,Промышленность,0
Shirpur Gold Refinery Ltd,SHGR,NSE,Материалы,0
Shriram Pistons Rings,SHIE,NSE,Потребительский сектор,"3,91"
Shigan Quantum Tech,SHIQ,NSE,Потребительский сектор,"-2,01"
S H Kelkar And Company Ltd,SHKE,NSE,Материалы,"-1,85"
Shalimar Paints Ltd,SHLP,NSE,Материалы,"-0,09"
Shilpa Medicare Ltd,SHME,NSE,Здравоохранение,"-1,39"
Shyam Telecom Ltd,SHMT,NSE,Информационные технологии,"1,95"
Shanthi Gears,SHNT,NSE,Промышленность,"3,97"
Shoppers Stop,SHOP,NSE,Потребительский сектор,"1,26"
Shakti Pumps India Ltd,SHPU,NSE,Промышленность,"0,44"
Shrenik,SHRK,NSE,Промышленность,"2,56"
Shree Rama Multi Tech Ltd,SHRM,NSE,Материалы,0
Shreeram Proteins,SHRR,NSE,Производители товаров массового потребления,0
Shreyans Industries Ltd,SHRY,NSE,Материалы,"1,86"
ShreeOswal Seeds,SHSE,NSE,Производители товаров массового потребления,"3,17"
Shiva Texyarn,SHTE,NSE,Потребительский сектор,"-3,13"
Shree Tirupati Balajee FIBC,SHTR,NSE,Материалы,"4,62"
Shubhlaxmi Jewel,SHUL,NSE,Потребительский сектор,"9,44"
Shivalik Bimetal Controls,SHVB,NSE,Материалы,"-3,06"
Shiv Aum Steels,SHVU,NSE,Промышленность,0
Shyam Century Ferrous Ltd,SHYC,NSE,Материалы,"-2,78"
Shyam Metalics and Energy,SHYE,NSE,Материалы,"-1,98"
The South Indian Bank,SIBK,NSE,Финансы,"-1,01"
Sical Logistics Ltd,SICA,NSE,Промышленность,"-4,91"
Sicagen India Ltd,SICI,NSE,Промышленность,0
Sirca Paints,SICR,NSE,Потребительский сектор,"2,12"
Siddhika Coatings,SIDI,NSE,Промышленность,0
Siemens Ltd,SIEM,NSE,Промышленность,"-1,83"
Sigachi Industries,SIGC,NSE,Здравоохранение,"-1,08"
Sigma Solve,SIGM,NSE,Информационные технологии,"4,86"
Signet Industries,SIGN,NSE,Промышленность,"-0,25"
Supreme Infrastructure,SIIL,NSE,Промышленность,5
Sikko Industries,SIKK,NSE,Материалы,"-0,75"
Silgo Retail,SILG,NSE,Потребительский сектор,"-0,83"
Sil Investments Ltd,SILI,NSE,Финансы,"1,2"
Silly Monks Entertainment,SILL,NSE,Услуги связи,"-1,82"
Silver Touch,SILT,NSE,Информационные технологии,"-1,92"
Simbhaoli Sugars Ltd,SIMB,NSE,Производители товаров массового потребления,"-2,14"
Sintercom,SINE,NSE,Потребительский сектор,"1,91"
Simplex Infrastructures,SINF,NSE,Промышленность,"-1,73"
Sintex Plastics,SINT,NSE,Материалы,"-2,82"
SIS,SISI,NSE,Промышленность,"0,83"
Siti Networks,SITI,NSE,Услуги связи,"9,09"
Shivalik Rasayan,SIVA,NSE,Материалы,"-0,62"
Siyaram Silk Mills,SIYR,NSE,Потребительский сектор,"-1,04"
SJS Enterprises,SJSE,NSE,Потребительский сектор,"-0,7"
Sjvn Ltd,SJVN,NSE,Коммунальные услуги,"0,92"
Sasken Communication Tech,SKCT,NSE,Информационные технологии,"-2,27"
SKF India,SKFB,NSE,Промышленность,"-1,68"
SKIL Infrastructure Ltd,SKIL,NSE,Промышленность,"-2,94"
Skipper Ltd,SKIP,NSE,Промышленность,"-1,9"
SKM Egg Products Export India,SKME,NSE,Производители товаров массового потребления,"4,96"
Sakthi Sugars Ltd,SKSG,NSE,Производители товаров массового потребления,"-1,3"
S K S Textiles,SKST,NSE,Потребительский сектор,0
Surya Lakshmi Cotton Mills Ltd,SLCM,NSE,Потребительский сектор,"-2,26"
Solar Industries India Ltd,SLIN,NSE,Материалы,"-1,69"
Smartlink Network Systems Ltd,SMAT,NSE,Информационные технологии,"-1,79"
Sambhaav Media Ltd,SMBH,NSE,Услуги связи,"-2,22"
SMC Global Securities,SMCG,NSE,Финансы,"0,25"
SML Isuzu Ltd,SMLI,NSE,Промышленность,"-2,03"
SMS Lifesciences,SMSL,NSE,Здравоохранение,"-1,14"
SMS Pharmaceuticals Ltd,SMSP,NSE,Здравоохранение,"-0,28"
SMVD Poly Pack,SMVD,NSE,Материалы,"4,94"
Sundaram Finance Holdings,SNDA,NSE,Потребительский сектор,"-2,92"
Sandesh,SNDH,NSE,Услуги связи,0
Sundaram Finance,SNFN,NSE,Финансы,"-1,64"
Sundram Fasteners,SNFS,NSE,Потребительский сектор,"-0,05"
Sanghi Industries Ltd,SNGI,NSE,Материалы,"-2,88"
Sanghvi Movers Ltd,SNGM,NSE,Промышленность,"-2,43"
Sanginita Chemicals,SNGN,NSE,Материалы,"2,15"
Snowman Log,SNOW,NSE,Промышленность,"-1,36"
Shanti Overseas,SNTI,NSE,Производители товаров массового потребления,"-0,22"
Sandhar Tech,SNTL,NSE,Потребительский сектор,"0,46"
Sintex Industries,SNTX,NSE,Потребительский сектор,0
Sanwaria Agro Oils Ltd,SNWR,NSE,Производители товаров массового потребления,"-5,88"
Sobha Developers,SOBH,NSE,Недвижимость,"-1,62"
Somany Ceramics Ltd,SOCE,NSE,Промышленность,"3,06"
Solex Energy,SOEX,NSE,Информационные технологии,0
Sonata Software,SOFT,NSE,Информационные технологии,"0,59"
Solara Active Pharma,SOLA,NSE,Здравоохранение,"-1,17"
Soma Textiles Industries Ltd,SOMA,NSE,Потребительский сектор,"-0,63"
Sonam Clock,SOMC,NSE,Потребительский сектор,"-1,7"
Somi Conveyor Beltings,SOMI,NSE,Промышленность,"-1,9"
Sona BLW Precision Forgings,SONB,NSE,Потребительский сектор,"-1,15"
Sona Hi Sona Jewellers,SONH,NSE,Потребительский сектор,"4,31"
Sonu Infratech,SONI,NSE,Промышленность,0
Soril Infra Resources,SORI,NSE,Промышленность,0
SoftTech Engineers,SOTF,NSE,Информационные технологии,"4,98"
Spandana Sphoorty Financial Ltd BO,SPAD,NSE,Финансы,"-1,25"
S. P. Apparels,SPAP,NSE,Потребительский сектор,"-1,19"
Shree Pushkar Chemicals,SPCH,NSE,Материалы,"-2,48"
Spencer's Retail,SPEN,NSE,Производители товаров массового потребления,"-3,96"
Spectrum Electrical,SPET,NSE,Промышленность,0
Southern Petrochemical,SPIC,NSE,Материалы,"-1,86"
Spicejet Ltd BSE,SPJT,NSE,Промышленность,"-1,46"
SPML Infra Ltd,SPML,NSE,Промышленность,"3,04"
SPL Industries Ltd,SPND,NSE,Потребительский сектор,"-3,3"
Sun Pharma Adv. Research,SPRC,NSE,Здравоохранение,"1,03"
Speciality Restaurants Ltd,SPRE,NSE,Потребительский сектор,"-0,93"
SP Refractories,SPRF,NSE,Материалы,"3,66"
Super House Ltd,SPRH,NSE,Потребительский сектор,"-0,23"
Supriya Lifescience,SPRL,NSE,Здравоохранение,"-0,8"
Spentex Industries Ltd,SPTI,NSE,Потребительский сектор,"-4,55"
Supreme Petrochem,SPTL,NSE,Материалы,"1,54"
Shree Digvijay Cement Co,SRDC,NSE,Материалы,"-0,88"
Sreeleathers Ltd,SREE,NSE,Потребительский сектор,"-1,11"
SREI Infrastructure Finance,SREI,NSE,Финансы,"-4,49"
Shrem Invit,SREN,NSE,Промышленность,0
